Precursor Neutral Formula,Area,Product Mz,Replicate
C10H18Cl4,0,312.985663,Cal_C_3_RB3_01_3350
C10H18Cl4,9125479,312.985663,Lard-B_RC3_01_3321
C10H18Cl4,12782831,312.985663,Lard-D_RC4_01_3322
C10H18Cl4,7150925,312.985663,pork-1_RB8_01_3318
C10H18Cl4,6629913,312.985663,pork-2_RC1_01_3319
C10H18Cl4,9865751,312.985663,pork-3_RC2_01_3320
C10H18Cl4,0,313.989085,Blank_procedure_RB7_01_3317
C10H18Cl4,0,313.989085,Cal_A_1_RA3_01_3342
C10H18Cl4,1678355,313.989085,Cal_A_2_RA4_01_3343
C10H18Cl4,4976682,313.989085,Cal_A_3_RA5_01_3344
C10H18Cl4,0,313.989085,Cal_B_1_RA6_01_3345
C10H18Cl4,271804,313.989085,Cal_B_2_RA7_01_3346
C10H18Cl4,280179,313.989085,Cal_B_3_RA8_01_3347
C10H18Cl4,0,313.989085,Cal_C_1_RB1_01_3348
C10H18Cl4,0,313.989085,Cal_C_2_RB2_01_3349
C10H18Cl4,0,313.989085,Cal_C_3_RB3_01_3350
C10H18Cl4,0,313.989085,Lard-B_RC3_01_3321
C10H18Cl4,0,313.989085,Lard-D_RC4_01_3322
C10H18Cl4,0,313.989085,pork-1_RB8_01_3318
C10H18Cl4,0,313.989085,pork-2_RC1_01_3319
C10H18Cl4,0,313.989085,pork-3_RC2_01_3320
C10H18Cl4,4947193,314.982747,Blank_procedure_RB7_01_3317
C10H18Cl4,27051308,314.982747,Cal_A_1_RA3_01_3342
C10H18Cl4,74776440,314.982747,Cal_A_2_RA4_01_3343
C10H18Cl4,102928856,314.982747,Cal_A_3_RA5_01_3344
C10H18Cl4,28564292,314.982747,Cal_B_1_RA6_01_3345
C10H18Cl4,35707308,314.982747,Cal_B_2_RA7_01_3346
C10H18Cl4,45149276,314.982747,Cal_B_3_RA8_01_3347
C10H18Cl4,1882438,314.982747,Cal_C_1_RB1_01_3348
C10H18Cl4,880969,314.982747,Cal_C_2_RB2_01_3349
C10H18Cl4,1089593,314.982747,Cal_C_3_RB3_01_3350
C10H18Cl4,15832070,314.982747,Lard-B_RC3_01_3321
C10H18Cl4,22779816,314.982747,Lard-D_RC4_01_3322
C10H18Cl4,13360312,314.982747,pork-1_RB8_01_3318
C10H18Cl4,12133622,314.982747,pork-2_RC1_01_3319
C10H18Cl4,17943702,314.982747,pork-3_RC2_01_3320
C10H17Cl5,36166696,346.94669,Blank_procedure_RB7_01_3317
C10H17Cl5,130873912,346.94669,Cal_A_1_RA3_01_3342
C10H17Cl5,405523040,346.94669,Cal_A_2_RA4_01_3343
C10H17Cl5,718332480,346.94669,Cal_A_3_RA5_01_3344
C10H17Cl5,212210224,346.94669,Cal_B_1_RA6_01_3345
C10H17Cl5,350703296,346.94669,Cal_B_2_RA7_01_3346
C10H17Cl5,500457440,346.94669,Cal_B_3_RA8_01_3347
C10H17Cl5,69369416,346.94669,Cal_C_1_RB1_01_3348
C10H17Cl5,99299032,346.94669,Cal_C_2_RB2_01_3349
C10H17Cl5,131771424,346.94669,Cal_C_3_RB3_01_3350
C10H17Cl5,119162936,346.94669,Lard-B_RC3_01_3321
C10H17Cl5,137919920,346.94669,Lard-D_RC4_01_3322
C10H17Cl5,80958320,346.94669,pork-1_RB8_01_3318
C10H17Cl5,96665376,346.94669,pork-2_RC1_01_3319
C10H17Cl5,127771840,346.94669,pork-3_RC2_01_3320
C10H17Cl5,261829,347.950109,Blank_procedure_RB7_01_3317
C10H17Cl5,12208435,347.950109,Cal_A_1_RA3_01_3342
C10H17Cl5,42238096,347.950109,Cal_A_2_RA4_01_3343
C10H17Cl5,73610552,347.950109,Cal_A_3_RA5_01_3344
C10H17Cl5,21337606,347.950109,Cal_B_1_RA6_01_3345
C10H17Cl5,37209840,347.950109,Cal_B_2_RA7_01_3346
C10H17Cl5,52390152,347.950109,Cal_B_3_RA8_01_3347
C10H17Cl5,5386656,347.950109,Cal_C_1_RB1_01_3348
C10H17Cl5,9017741,347.950109,Cal_C_2_RB2_01_3349
C10H17Cl5,12946851,347.950109,Cal_C_3_RB3_01_3350
C10H17Cl5,11069314,347.950109,Lard-B_RC3_01_3321
C10H17Cl5,12626845,347.950109,Lard-D_RC4_01_3322
C10H17Cl5,6065292,347.950109,pork-1_RB8_01_3318
C10H17Cl5,8387722,347.950109,pork-2_RC1_01_3319
C10H17Cl5,12283282,347.950109,pork-3_RC2_01_3320
C10H17Cl5,72894120,348.943769,Blank_procedure_RB7_01_3317
C10H17Cl5,261371456,348.943769,Cal_A_1_RA3_01_3342
C10H17Cl5,859399488,348.943769,Cal_A_2_RA4_01_3343
C10H17Cl5,1541282816,348.943769,Cal_A_3_RA5_01_3344
C10H17Cl5,427653696,348.943769,Cal_B_1_RA6_01_3345
